sample_size,rate,mvdd_min,mvdd_max,mvdd_std,mvdd_mean,pnl_min,pnl_max,pnl_std,pnl_mean,double_balance_game_length_min,double_balance_game_length_max,double_balance_game_length_std,double_balance_game_length_mean
20,0.5,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.51,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.52,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.53,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.54,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.55,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.56,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.57,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.58,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.59,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.6,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.61,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.62,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.63,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.64,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.65,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.66,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.67,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.68,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.69,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.7,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.71,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.72,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.73,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.74,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.75,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.76,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.77,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.78,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
20,0.79,-100.0,-100.0,0.0,-100.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0
